X,Y,Label
11730,23019,0
11429,20021,0
11200,21687,0
10518,19153,0
9882,20483,0
9320,20344,0
9683,19769,0
9461,21120,0
9630,20055,0
9466,20356,0
9463,19842,0
9208,19943,0
9603,20964,0
9142,21144,0
9424,19924,0
9772,19149,0
10071,19270,0
10154,20302,0
9558,20162,0
9537,19866,0
9737,21335,0
9498,20835,0
9752,21093,0
9838,20067,0
9999,19501,0
10053,21194,0
9862,20726,0
9329,21755,0
9656,18940,0
9798,19247,7
9519,20039,7
9996,21193,7
10051,20802,7
9847,19556,7
9708,21176,7
9744,20602,7
10737,20091,7
10106,20657,7
10680,20434,7
9799,20394,7
10763,21907,7
10375,20592,7
10794,21749,7
10565,20229,7
10208,20827,7
10666,20672,7
10732,20030,7
11296,22103,7
11625,21733,7
11335,21238,7
11120,20746,7
11969,21493,7
11863,19748,7
11457,21557,7
11616,21797,7
11717,22159,7
11653,21233,7
11206,22012,7
11639,20963,7
11655,20041,7
12025,20424,7
12379,22017,7
11532,19722,0
11534,19798,0
10804,20847,0
9915,20350,0
9590,20419,0
8857,19757,0
9632,19347,0
8877,18864,0
8614,20445,0
9030,19528,0
8169,19977,0
8237,18872,0
8529,19350,0
9016,18595,0
8588,19036,0
8499,18887,0
8821,19512,0
8951,19313,0
9419,20524,0
8595,19748,0
8738,19784,0
9041,19270,0
9234,18255,0
9070,19674,0
9138,19422,0
9374,19352,0
8845,18997,0
8436,18802,0
8454,19241,0
8818,18755,0
9042,18620,0
9379,18399,0
9381,18893,0
9734,18325,0
10034,19706,0
9976,18270,0
9596,20124,0
9259,18481,0
8836,18287,0
9102,18429,0
8793,19611,0
8491,18504,0
8292,18125,0
7611,18062,0
7836,17715,0
7609,17870,0
7434,18064,0
7281,16959,0
7122,17631,0
7131,19024,0
7633,18293,0
7046,17382,0
7847,18138,0
7300,17490,0
7462,18086,0
7189,18153,0
7080,17697,0
7200,18683,0
7523,17293,0
7008,18339,0
7021,18541,0
6855,17381,0
7259,16814,0
7198,17439,0
7067,17600,0
6991,17545,0
6878,17399,0
7296,18459,0
7496,18062,0
7296,18492,0
7074,18721,0
7300,18380,0
7521,18886,0
7277,19121,0
7301,17438,0
7224,16991,0
6569,18044,0
7279,18103,0
7737,18411,0
7235,18333,0
7523,19136,0
7205,17818,0
7256,18866,0
7341,17000,0
7082,17253,0
7474,18394,0
7217,17837,0
7485,18411,0
7553,17840,0
8198,18511,0
8014,17511,0
8175,19391,0
8967,17998,0
10113,18778,0
9772,19054,0
9698,18092,0
8400,17038,0
7972,17665,0
8157,17641,0
8035,18733,0
7916,17632,0
7931,17633,0
7761,17367,0
6909,17277,0
7310,16727,0
7367,17468,0
7350,17687,0
7243,18012,0
7009,16729,4
7554,17310,4
7114,18730,4
6838,17154,4
7286,17728,4
7379,18535,4
7316,17509,4
6982,17341,4
6786,17649,4
6516,18102,4
7228,17140,4
6689,18207,4
6950,17341,4
7150,18315,4
7329,17069,4
7039,17324,4
7231,17278,4
7180,16965,4
6972,18922,4
7499,16747,4
6962,17498,4
6848,16607,4
6967,17193,4
7281,17169,4
6920,17910,4
6834,18999,4
7073,17078,4
6792,18405,4
6627,16619,4
6813,17405,4
6452,17810,4
7137,18115,4
7143,17349,4
7182,16594,4
7627,16815,4
7799,18115,4
7709,16878,4
7888,17201,4
8072,17453,4
8592,17700,4
8614,17354,4
8749,16769,4
8131,17359,4
8441,17881,4
8217,17990,4
8274,17511,4
8261,17329,4
8348,17074,0
8433,19207,0
8033,17671,0
7992,17864,0
7577,17511,0
7201,18271,0
7271,17124,0
7087,17460,0
7803,17288,0
7119,18284,0
7313,18182,0
7138,16916,0
7486,17474,0
7034,18046,0
7096,16814,0
6943,18239,0
6920,17456,0
7154,16439,0
6854,16607,0
7029,16631,0
6836,17224,0
6621,17140,0
6980,15968,0
7374,16800,0
6857,17154,0
6729,17206,0
6453,16876,0
6585,16108,0
6394,15720,0
6791,16507,0
6863,17647,0
6917,17224,0
6179,16006,0
7208,16200,0
6656,16698,0
6838,16180,0
6471,16030,0
6480,16161,0
7379,16006,0
6951,15729,0
7144,16208,0
7392,16999,0
7023,16871,0
7014,16067,0
6568,14999,0
7011,16332,0
7053,16702,0
6872,15874,0
6782,16520,0
